12277
20180407043448,10.0.0.1,40567,10.0.0.3,5001,3,0.0-1.0,1048576,8388608
20180407043449,10.0.0.1,40567,10.0.0.3,5001,3,1.0-2.0,655360,5242880
20180407043450,10.0.0.1,40567,10.0.0.3,5001,3,2.0-3.0,655360,5242880
20180407043451,10.0.0.1,40567,10.0.0.3,5001,3,3.0-4.0,655360,5242880
20180407043452,10.0.0.1,40567,10.0.0.3,5001,3,4.0-5.0,786432,6291456
20180407043453,10.0.0.1,40567,10.0.0.3,5001,3,5.0-6.0,655360,5242880
20180407043454,10.0.0.1,40567,10.0.0.3,5001,3,6.0-7.0,655360,5242880
20180407043455,10.0.0.1,40567,10.0.0.3,5001,3,7.0-8.0,917504,7340032
20180407043456,10.0.0.1,40567,10.0.0.3,5001,3,8.0-9.0,393216,3145728
20180407043457,10.0.0.1,40567,10.0.0.3,5001,3,9.0-10.0,655360,5242880
20180407043458,10.0.0.1,40567,10.0.0.3,5001,3,10.0-11.0,1048576,8388608
20180407043459,10.0.0.1,40567,10.0.0.3,5001,3,11.0-12.0,524288,4194304
20180407043500,10.0.0.1,40567,10.0.0.3,5001,3,12.0-13.0,524288,4194304
20180407043501,10.0.0.1,40567,10.0.0.3,5001,3,13.0-14.0,524288,4194304
20180407043502,10.0.0.1,40567,10.0.0.3,5001,3,14.0-15.0,524288,4194304
20180407043503,10.0.0.1,40567,10.0.0.3,5001,3,15.0-16.0,524288,4194304
20180407043504,10.0.0.1,40567,10.0.0.3,5001,3,16.0-17.0,524288,4194304
20180407043505,10.0.0.1,40567,10.0.0.3,5001,3,17.0-18.0,524288,4194304
20180407043506,10.0.0.1,40567,10.0.0.3,5001,3,18.0-19.0,524288,4194304
20180407043508,10.0.0.1,40567,10.0.0.3,5001,3,19.0-20.0,524288,4194304
20180407043508,10.0.0.1,40567,10.0.0.3,5001,3,20.0-21.0,0,0
20180407043509,10.0.0.1,40567,10.0.0.3,5001,3,21.0-22.0,1048576,8388608
20180407043510,10.0.0.1,40567,10.0.0.3,5001,3,22.0-23.0,1048576,8388608
20180407043511,10.0.0.1,40567,10.0.0.3,5001,3,23.0-24.0,524288,4194304
20180407043512,10.0.0.1,40567,10.0.0.3,5001,3,24.0-25.0,524288,4194304
20180407043513,10.0.0.1,40567,10.0.0.3,5001,3,25.0-26.0,524288,4194304
20180407043514,10.0.0.1,40567,10.0.0.3,5001,3,26.0-27.0,524288,4194304
20180407043515,10.0.0.1,40567,10.0.0.3,5001,3,27.0-28.0,524288,4194304
20180407043516,10.0.0.1,40567,10.0.0.3,5001,3,28.0-29.0,524288,4194304
20180407043517,10.0.0.1,40567,10.0.0.3,5001,3,29.0-30.0,524288,4194304
20180407043517,10.0.0.1,40567,10.0.0.3,5001,3,0.0-30.1,18743296,4982554
